trialNum,trialType,stimA,stimB,outcomeA,outcomeB
1,shared,1,2,50,40
2,shared,1,2,50,40
3,shared,1,2,50,40
4,shared,1,2,50,60
5,shared,1,2,50,60
6,shared,1,2,50,60
7,shared,2,1,40,50
8,shared,2,1,40,50
9,shared,2,1,40,50
10,shared,2,1,60,50
11,shared,2,1,60,50
12,shared,2,1,60,50
13,context,3,4,20,10
14,context,3,4,20,10
15,context,3,4,20,10
16,context,3,4,20,30
17,context,3,4,20,30
18,context,3,4,20,30
19,context,4,3,10,20
20,context,4,3,10,20
21,context,4,3,10,20
22,context,4,3,30,20
23,context,4,3,30,20
24,context,4,3,30,20
25,catch,5,6,0,100
26,catch,5,6,0,100
27,catch,5,6,0,100
28,catch,6,5,100,0
29,catch,6,5,100,0
30,catch,6,5,100,0
31,catch,1,3,50,20
32,catch,1,4,50,10
33,catch,1,5,50,0
34,catch,1,6,50,100
35,catch,2,3,40,20
36,catch,2,4,60,30
37,catch,2,5,40,0
38,catch,2,6,60,100
39,catch,3,5,20,0
40,catch,3,6,20,100
41,catch,4,5,10,0
42,catch,4,6,30,100
43,catch,3,1,20,50
44,catch,4,1,30,50
45,catch,5,1,0,50
46,catch,6,1,100,50
47,catch,3,2,20,60
48,catch,4,2,10,40
49,catch,5,2,0,60
50,catch,6,2,100,40
51,catch,5,3,0,20
52,catch,6,3,100,20
53,catch,5,4,0,30
54,catch,6,4,100,10
55,single,1,NA,50,NA
56,single,NA,1,NA,50
57,single,2,NA,40,NA
58,single,NA,2,NA,60
59,single,3,NA,20,NA
60,single,NA,3,NA,20
61,single,4,NA,30,NA
62,single,NA,4,NA,10
63,single,5,NA,0,NA
64,single,NA,5,NA,0
65,single,6,NA,100,NA
66,single,NA,6,NA,100
