trialNum,trialType,stimA,stimB,outcomeA,outcomeB
1,L,1,2,25,10
2,L,1,2,25,10
3,L,1,2,25,10
4,L,1,2,25,40
5,L,1,2,25,40
6,L,1,2,25,40
7,L,2,1,10,25
8,L,2,1,10,25
9,L,2,1,10,25
10,L,2,1,40,25
11,L,2,1,40,25
12,L,2,1,40,25
13,H,3,4,75,60
14,H,3,4,75,60
15,H,3,4,75,60
16,H,3,4,75,90
17,H,3,4,75,90
18,H,3,4,75,90
19,H,4,3,60,75
20,H,4,3,60,75
21,H,4,3,60,75
22,H,4,3,90,75
23,H,4,3,90,75
24,H,4,3,90,75
25,X,5,6,50,0
26,X,5,6,50,0
27,X,5,6,50,0
28,X,5,6,50,100
29,X,5,6,50,100
30,X,5,6,50,100
31,X,6,5,0,50
32,X,6,5,0,50
33,X,6,5,0,50
34,X,6,5,100,50
35,X,6,5,100,50
36,X,6,5,100,50
37,C,1,3,25,75
38,C,1,4,25,60
39,C,1,5,25,50
40,C,1,6,25,0
41,C,2,3,10,75
42,C,2,4,40,90
43,C,2,5,10,50
44,C,2,6,40,0
45,C,3,5,75,50
46,C,3,6,75,100
47,C,4,5,60,50
48,C,4,6,90,100
49,C,3,1,75,25
50,C,4,1,90,25
51,C,5,1,50,25
52,C,6,1,100,25
53,C,3,2,75,40
54,C,4,2,60,10
55,C,5,2,50,40
56,C,6,2,100,10
57,C,5,3,50,75
58,C,6,3,0,75
59,C,5,4,50,90
60,C,6,4,0,60
61,S,1,NA,25,NA
62,S,NA,1,NA,25
63,S,2,NA,10,NA
64,S,NA,2,NA,40
65,S,3,NA,75,NA
66,S,NA,3,NA,75
67,S,4,NA,90,NA
68,S,NA,4,NA,60
69,S,5,NA,50,NA
70,S,NA,5,NA,50
71,S,6,NA,0,NA
72,S,NA,6,NA,100
