trialNum,trialType,stimA,stimB,outcomeA,outcomeB
1,L,1,2,25,20
2,L,1,2,25,20
3,L,1,2,25,20
4,L,1,2,25,30
5,L,1,2,25,30
6,L,1,2,25,30
7,L,2,1,20,25
8,L,2,1,20,25
9,L,2,1,20,25
10,L,2,1,30,25
11,L,2,1,30,25
12,L,2,1,30,25
13,H,3,4,75,70
14,H,3,4,75,70
15,H,3,4,75,70
16,H,3,4,75,80
17,H,3,4,75,80
18,H,3,4,75,80
19,H,4,3,70,75
20,H,4,3,70,75
21,H,4,3,70,75
22,H,4,3,80,75
23,H,4,3,80,75
24,H,4,3,80,75
25,X,5,6,50,0
26,X,5,6,50,0
27,X,5,6,50,0
28,X,5,6,50,100
29,X,5,6,50,100
30,X,5,6,50,100
31,X,6,5,0,50
32,X,6,5,0,50
33,X,6,5,0,50
34,X,6,5,100,50
35,X,6,5,100,50
36,X,6,5,100,50
37,C,1,3,25,75
38,C,1,4,25,70
39,C,1,5,25,50
40,C,1,6,25,0
41,C,2,3,20,75
42,C,2,4,30,80
43,C,2,5,20,50
44,C,2,6,30,0
45,C,3,5,75,50
46,C,3,6,75,100
47,C,4,5,70,50
48,C,4,6,80,100
49,C,3,1,75,25
50,C,4,1,80,25
51,C,5,1,50,25
52,C,6,1,100,25
53,C,3,2,75,30
54,C,4,2,70,20
55,C,5,2,50,30
56,C,6,2,100,20
57,C,5,3,50,75
58,C,6,3,0,75
59,C,5,4,50,80
60,C,6,4,0,70
61,S,1,NA,25,NA
62,S,NA,1,NA,25
63,S,2,NA,20,NA
64,S,NA,2,NA,30
65,S,3,NA,75,NA
66,S,NA,3,NA,75
67,S,4,NA,80,NA
68,S,NA,4,NA,70
69,S,5,NA,50,NA
70,S,NA,5,NA,50
71,S,6,NA,0,NA
72,S,NA,6,NA,100
