trialNum,trialType,stimA,stimB,outcomeA,outcomeB
1,X,1,2,50,90
2,X,1,2,50,90
3,X,1,2,50,90
4,X,1,2,50,10
5,X,1,2,50,10
6,X,1,2,50,10
7,X,2,1,90,50
8,X,2,1,90,50
9,X,2,1,90,50
10,X,2,1,10,50
11,X,2,1,10,50
12,X,2,1,10,50
13,NX,3,4,70,60
14,NX,3,4,70,60
15,NX,3,4,70,60
16,NX,3,4,70,80
17,NX,3,4,70,80
18,NX,3,4,70,80
19,NX,4,3,60,70
20,NX,4,3,60,70
21,NX,4,3,60,70
22,NX,4,3,80,70
23,NX,4,3,80,70
24,NX,4,3,80,70
25,C,1,3,50,70
26,C,1,3,50,70
27,C,3,1,70,50
28,C,3,1,70,50
29,C,1,4,50,60
30,C,1,4,50,80
31,C,4,1,60,50
32,C,4,1,80,50
33,C,2,3,90,70
34,C,2,3,10,70
35,C,3,2,70,90
36,C,3,2,70,10
37,C,2,4,90,60
38,C,2,4,10,80
39,C,4,2,60,90
40,C,4,2,80,10
41,S,1,NA,50,NA
42,S,NA,1,NA,50
43,S,2,NA,90,NA
44,S,NA,2,NA,10
45,S,3,NA,70,NA
46,S,NA,3,NA,70
47,S,4,NA,60,NA
48,S,NA,4,NA,80
