trialNum,trialType,stimA,stimB,outcomeA,outcomeB
1,X,1,2,50,90
2,X,1,2,50,90
3,X,1,2,50,90
4,X,1,2,50,10
5,X,1,2,50,10
6,X,1,2,50,10
7,X,2,1,90,50
8,X,2,1,90,50
9,X,2,1,90,50
10,X,2,1,10,50
11,X,2,1,10,50
12,X,2,1,10,50
13,NX,3,4,30,20
14,NX,3,4,30,20
15,NX,3,4,30,20
16,NX,3,4,30,40
17,NX,3,4,30,40
18,NX,3,4,30,40
19,NX,4,3,20,30
20,NX,4,3,20,30
21,NX,4,3,20,30
22,NX,4,3,40,30
23,NX,4,3,40,30
24,NX,4,3,40,30
25,C,1,3,50,30
26,C,1,3,50,30
27,C,3,1,30,50
28,C,3,1,30,50
29,C,1,4,50,20
30,C,1,4,50,40
31,C,4,1,20,50
32,C,4,1,40,50
33,C,2,3,90,30
34,C,2,3,10,30
35,C,3,2,30,90
36,C,3,2,30,10
37,C,2,4,90,20
38,C,2,4,10,40
39,C,4,2,20,90
40,C,4,2,40,10
41,S,1,NA,50,NA
42,S,NA,1,NA,50
43,S,2,NA,90,NA
44,S,NA,2,NA,10
45,S,3,NA,30,NA
46,S,NA,3,NA,30
47,S,4,NA,20,NA
48,S,NA,4,NA,40
