trialNum,trialType,stimA,stimB,outcomeA,outcomeB
1,X,1,2,50,90
2,X,1,2,50,90
3,X,1,2,50,90
4,X,1,2,50,10
5,X,1,2,50,10
6,X,1,2,50,10
7,X,2,1,90,50
8,X,2,1,90,50
9,X,2,1,90,50
10,X,2,1,10,50
11,X,2,1,10,50
12,X,2,1,10,50
13,NX,3,4,80,75
14,NX,3,4,80,75
15,NX,3,4,80,75
16,NX,3,4,80,85
17,NX,3,4,80,85
18,NX,3,4,80,85
19,NX,4,3,75,80
20,NX,4,3,75,80
21,NX,4,3,75,80
22,NX,4,3,85,80
23,NX,4,3,85,80
24,NX,4,3,85,80
25,NX,3,4,80,75
26,NX,3,4,80,75
27,NX,3,4,80,75
28,NX,3,4,80,85
29,NX,3,4,80,85
30,NX,3,4,80,85
31,NX,4,3,75,80
32,NX,4,3,75,80
33,NX,4,3,75,80
34,NX,4,3,85,80
35,NX,4,3,85,80
36,NX,4,3,85,80
37,C,1,3,50,80
38,C,1,3,50,80
39,C,3,1,80,50
40,C,3,1,80,50
41,C,1,4,50,75
42,C,1,4,50,85
43,C,4,1,75,50
44,C,4,1,85,50
45,C,2,3,90,80
46,C,2,3,10,80
47,C,3,2,80,90
48,C,3,2,80,10
49,C,2,4,90,75
50,C,2,4,10,85
51,C,4,2,75,90
52,C,4,2,85,10
53,S,1,NA,50,NA
54,S,NA,1,NA,50
55,S,2,NA,90,NA
56,S,NA,2,NA,10
57,S,3,NA,80,NA
58,S,NA,3,NA,80
59,S,4,NA,75,NA
60,S,NA,4,NA,85
