trialNum,trialType,stimA,stimB,outcomeA,outcomeB
1,X,1,2,50,90
2,X,1,2,50,90
3,X,1,2,50,90
4,X,1,2,50,10
5,X,1,2,50,10
6,X,1,2,50,10
7,X,2,1,90,50
8,X,2,1,90,50
9,X,2,1,90,50
10,X,2,1,10,50
11,X,2,1,10,50
12,X,2,1,10,50
13,NX,3,4,20,15
14,NX,3,4,20,15
15,NX,3,4,20,15
16,NX,3,4,20,25
17,NX,3,4,20,25
18,NX,3,4,20,25
19,NX,4,3,15,20
20,NX,4,3,15,20
21,NX,4,3,15,20
22,NX,4,3,25,20
23,NX,4,3,25,20
24,NX,4,3,25,20
25,NX,3,4,20,15
26,NX,3,4,20,15
27,NX,3,4,20,15
28,NX,3,4,20,25
29,NX,3,4,20,25
30,NX,3,4,20,25
31,NX,4,3,15,20
32,NX,4,3,15,20
33,NX,4,3,15,20
34,NX,4,3,25,20
35,NX,4,3,25,20
36,NX,4,3,25,20
37,C,1,3,50,20
38,C,1,3,50,20
39,C,3,1,20,50
40,C,3,1,20,50
41,C,1,4,50,15
42,C,1,4,50,25
43,C,4,1,15,50
44,C,4,1,25,50
45,C,2,3,90,20
46,C,2,3,10,20
47,C,3,2,20,90
48,C,3,2,20,10
49,C,2,4,90,15
50,C,2,4,10,25
51,C,4,2,15,90
52,C,4,2,25,10
53,S,1,NA,50,NA
54,S,NA,1,NA,50
55,S,2,NA,90,NA
56,S,NA,2,NA,10
57,S,3,NA,20,NA
58,S,NA,3,NA,20
59,S,4,NA,15,NA
60,S,NA,4,NA,25
