trialNum,trialType,stimA,stimB,outcomeA,outcomeB
1,low,1,2,-25,-40
2,low,1,2,-25,-40
3,low,1,2,-25,-40
4,low,1,2,-25,-40
5,low,1,2,-25,-10
6,low,1,2,-25,-10
7,low,1,2,-25,-10
8,low,1,2,-25,-10
9,low,2,1,-40,-25
10,low,2,1,-40,-25
11,low,2,1,-40,-25
12,low,2,1,-40,-25
13,low,2,1,-10,-25
14,low,2,1,-10,-25
15,low,2,1,-10,-25
16,low,2,1,-10,-25
17,single,1,NA,-25,NA
18,single,NA,1,NA,-25
19,single,2,NA,-40,NA
20,single,NA,2,NA,-10
21,high,3,4,75,60
22,high,3,4,75,60
23,high,3,4,75,60
24,high,3,4,75,60
25,high,3,4,75,90
26,high,3,4,75,90
27,high,3,4,75,90
28,high,3,4,75,90
29,high,4,3,60,75
30,high,4,3,60,75
31,high,4,3,60,75
32,high,4,3,60,75
33,high,4,3,90,75
34,high,4,3,90,75
35,high,4,3,90,75
36,high,4,3,90,75
37,single,3,NA,75,NA
38,single,NA,3,NA,75
39,single,4,NA,90,NA
40,single,NA,4,NA,60
